id,body,label,sentiment
61,"""Does abusing #autopilot make bad PR? I'm not sure its clear. It aggravates me as I get to hear more about how Tesla's are suicide vehicles, but it also results in free advertising and few people will miss the fact that the car remained safe...""$TSLA #predictableabuse",,1
62,"Lol you right $tsla went from zero to 4,500 a week in no time lol  Great chart $tslaq",,1
63, TODAY'S ACTIVE FLOW: $BAC $AAPL $HD $AMD $MU $FB $NFLX $ROKU $QCOM $NVDA $MSFT $HD $CSCO $GE $SQ $JPM $T $C $ZNGA $WFC $TSLA $AMZN $SNAP,,-1
64,Tell me a company better positioned for  the weak U.S. dollar and low repatriation rates. $AAPL completes 2/3 of sales overseas and sits on a $268.9B cash pile growing by >$50B per year. @StockTwits $QQQ $SPY,,1
65,Don't talk about the drug-running ships or Musk's affair w/ El Chapo's wife; talk about the fake truck $TSLA $TSLAQ,,-1
66,Would like to see $TSLA holding $304-$305 if I am going to bet on upside into the end of the week and next week's truck event,,0
67,Lost 60% so far on $aapl puts.,,1
68,I would sell only to get another position with more time. $TSLA looking like $150 in about a month,,1
69,$AAPL #Update [Apr-20 180 #Calls 3 C] $AAPL Up +45%  First alerted at:4 Now at:5.8  @sleekOptions,,1
70,"RT $NFLX HFT Algos triggered BUY in SIGMA-X, CROSSFINDER, ATS, LX @ 09:48, P/T 122.00 #Quant $MSFT $GPRO $GOOG $AMZN  $FB $AAPL $TSLA $QQQ",,0
71,Stocks To : $ZEN $SHOP $GOOGL $MSFT $GE $EA $SONO $SNE $BA $CELG $DIS $NFLX $WIX $GDDY $SFLY $SGMS $ATVI $AMZN $CMG $JPM $UAL $TTWO $TPR $AMAT $REGN,,0
72,Lyft Is Another Step Closer to Driverless Ridesharing @themotleyfool #stocks $LYFT $GOOGL $GOOG,,0
73,#Bearmama $AAPL IF the monthly chart is printing the abc and IF decides to play out then lifetime 618 is a t 96 and 1382 -1618 around 100-78. Earlier during 2018 sell off this number had come up along with $ES_F to 1800 $AMZN 800 etc. $QQQ $DIA #theory.,,0
74,Top #moneyflow for #sp500 today$GE $T $MON $XOM $NKE $MSFT $GOOG $EIX $NVDA $COST ...,,1
75,if not weird selling of $aapl today market would have seen a solid rally @15minofPham,,1
76,$GOOG $AAPL vantillian: $SAGD something up here 50k volume with high,,1
77,"Remember, $NFLX is king because of content. What if $AMZN spends the $$ to buy up content? They have other businesses to support streaming.",,-1
78,"Apple, median gain in March last 10-years = +10.17%  Premium Members long $AAPL $SPY Different this year?",,-1
79,$MSFT broke above a small wedge pattern today,,-1
80,$TSLA stop loss is in. not fking around here. locking it in if they drop it a hair,,0
81,$spy $gspc $aapl $nflx $goog $tsla Slack stock gains after MKM initiates at buy,,0
82,Shouldn't be if you're an $AMZN stockholder.,,0
83,$spy $dia $qqq like $IBM lenovo & $bb name $aapl eventually can be own by China.  US knows this...and I predict no trade deal,,1
84,"$AMZN +8% is ripping the eye sockets out of ""valuation"" bears",,0
85,$AAPL Is it just me or was the market also down big on last ER? Coincidence?,,-1
86,"Yup, the $tsla worshippers are actually claiming that, that means profit!!!",,0
87,"Last week's Motley Fool's Tech Industry Focus, talking #uber $GRUB and $GOOG",,1
88,#FMAGAT is the new #FAANGF’n maggot storefronts of the mafia elites. $FB $MSFT $AMZN $GOOG $AAPL $TSLA All accomplishing the agenda of the evil elites.,,-1
89,"$TSLA very very dangerous precedent set today with pattern bleeding waterfall to close. spread too thin, raising more debt, RSI overbought",,-1
90,$GOOG $AAPL $Pistol Pete$: Let's see $.001 tomorrow Go $COBI,,0
91,$AAPL #APPLE $INTC $CSCO $GOOG $GOOGL $MSFT,,0
92,iPhone ship times are dropping. $AAPL,,0
93,Amazon $AMZN longs right now including MYSELF! We good... we good ,,1
94,"Btw, Estimated #Earnings Per Share for $AAPL is $1.66 it's 1.68% of the current price",,0
95,I accepted an offer at $MSFT @Microsoft in late Feb 2014...,,-1
96,So with the China sales out down 70% we now know why someone was  desperate to pump $tsla up yesterday. He purpose was to limit today’s damage. The strong up manipulation happens every-time there is bad news to be announced by $tsla.  What a joke is the trading in $tsla $tslaq,,-1
97,"So overweight $AAPL that it just seems unimaginative to buy more here, but the price is compelling.",,1
98,@Keith_Wasserman oh god stay away from $twtr and $box. They are burning cash and won't get more. Try $aapl $gild $nflx,,1
99,$TSLA trading up thru 277.67 the gap down this morning is a short term buy signal. Who knows what the Great Oz will say or do next to effect stock price but it is a signal.,,1
100,"I'm back, I got stopped out $AAPL at 106.70 for a small gain of .59%",,-1
101,Certain to instill confidence in suppliers and creditors. $TSLA,,1
102,#estate asset watch -volume leaders today:  $GE $T $BAC $NXPI $SNAP $TEVA $MU $MRO $AAPL $FB $AIG $TWTR $NRG $VALE $PYPL $TSLA $INTC $WPX $WFC $LPI $WPX $WFC $LPI $MRVL $GILD $CZR $MSFT $F $BBA $X $NOK $AKRX $DWDP $GIS $SPOT $OAS $CX $TMUS $IQ $AMD $JD $TWX $KMI $FEYE $CCK,,0
103,$FB doing the $GOOG ER sympathy dance,,0
104,@ZoptionZ $AAPL Looking Pretty Hot - Taking My 118 CALLS,,1
105,$AMZN stock is going to 1000.  There is no doubt.  Why are you not long call options?  $QQQ $AAPL $WMT $BABA,,1
106,"$MSFT AUG.24, 2018 C110 with 5,200 contracts..last at 0.6s",,0
107,"$250 by the end of the day, would probably bring  some 'epic' tweets this weekend. No better entertainment than an unhinged CEO $TSLA $TSLAQ",,-1
108,"Me during summer 2019: Honey, FYI, bought a few hundred $TSLA shares.   Wife: Are you nuts?!Me:",,-1
109,Well at least something is making some sense $TSLA is $296 (should be $196),,-1
110,#TeslaExecutiveDeparturesList update courtesy of @temp_worker's LinkedIn sleuthingHeadliners are 2 guys who were at $TSLA for AWHILE. Jeremy Snyder - Head of Global Business Dev & Special Projects (10 yrs)Dustin Krause - Head of Global Sales Improvement & Operations (9 yrs),,1
111,$TSLA if this opens above $290 I'll be pressing the short,,0
112,Here's why Apple just raised $6.5 billion in debt — even though it's sitting on $178 billion in cash $AAPL,,0
113,Short $tsla over the weekend with @elonmusk email at 191 price where he exercise his options at,,0
114,Aaaand the cult starts to eat its own. $TSLA,,1
115,"Makes perfect sense. Market wide open. Smart move @elonmuskTesla is looking to raise as much as $2.3 billion through a bond sale and public offering of its shares, the company said in a securities filing $TSLA",,1
116,So uhhh... yeah... What's up with this $TSLA Grimes rumor?Has Grimes really not been seen in a month?,,-1
117,Lets Punch In Elon Musk's Corporate Headquarters. $BBRY $TSLA @elonmusk,,0
118,$swks $aapl $mmm $wwav $dow @jimcramer #cnbc #madtweets #amidiversified ?,,0
119,Long $TSLA Jan 2019 350 CALLS,,-1
120,New 52 wk high:Microsoft$MSFT 65.91,,1
121,"3/Too many times I've had a $GOOG product rendered useless, forcing me to move elsewhere with my collected-throughout-the-years-stuff.",,0
122,"$TSLA working so well, hold",,0
123,$AMZN  added some  MARCH8 $1685 PUTS @ $11.50 AS HEDGE TO REMAINING $1700 CALLS,,0
124,"When you lay off 3000 people, a somber tone is appropriate.We knew that margins would be lower on lemur and SR. Nothing worrying there, especially in the longer term as efficiencies and lower battery costs will increase $TSLA's margins.It has $3B to deal with that 900M debt.",,0
125,$TSLA Sales will be release in the form of emojis and anime pics at 4:20 pm.,,0
126,"Ouch man, after that $aapl news after hours. ",,0
127,$TSLA would not be surprise to see it trading at around 217 soon.,,0
128,"$AMZN might go southwards another +100$ before it takes a U turn for a rebound- imo it means slightly more bleeding till this mayhem stops. Hopefully, it reverses before as Pfizer and some big names report better than expected numbers and couple of upgrades.",,1
129,We are seeing why there was such a huge onslaught of negative $TSLA press in past couple months with stock <310The 'resistance' KNEW it was last chance to try kill the stock technically before #s and reality took over,,-1
130,$SPY is on a slippery slope down but $AAPL is holding onto its support by its fingernails.,,-1
131,R/R is there for $AAPL calls,,0
132,$BA $AAPL party this morning,,0
133,Fed and earnings helping equities so far. long $msft $aapl $sq from yesterday. $dis making a reversal here added this morning,,1
134,How $googl can convert your voice from one language to another in future no #jobs for translators,,0
135,So many tech analysts are circling the bandwagon with FANG again in 2019 as their top picks.$FB $AMZN $NFLX $GOOG,,1
136,In the sea of green $TSLA bulls insist on holding on to a sinking ship. But the captain says Titanic will colonize Mars!,,-1
137,$AAPL  iPhone Xs for me. #AppleEvent⁠ ⁠,,0
138,So is $TSLA just not releasing their Q1 delivery numbers at all? What is going on here?,,0
139,$tsla $tslaq @elonmusk We are eagerly waiting for your #modely and #ModelTruck Preorder now for the whole familyOnly $16.99 400k reservations,,1
140,"so as news came out, grandpa @WarrenBuffett is still picking $AAPL whenever it dips...grandpa you are awesome~ $C $GE $F $FB $AMZN $TSLA",,1
141,Bit of a topping tail in $aapl.....,,0
142,$TSLA ru ro. $AAPL with enough cash to buy every car company in the world.,,0
143,Apple: Court order violates 1st Amendment #AppleVsFBI $AAPL -,,0
144,MOMO hitting wall intraday? $NFLX - 128 / $TSLA - 200 / $NVDA - 116,,0
145,"When a company doesn’t find a way to fully satisfy a vocally disgruntled customer, wronged in many ways... it is obvious this is either 1. willful ignorance of customer treatment2. intentional punishment of customer for speaking upKnowing Elon I assume it’s both. $TSLA $TSLAQ",,1
146,"If he wants to raise money, he will find a way. thats how the capital markets operate. that little ""nugget"" of fact is papered by assumptions and clauses that you don't understand.",,1
147,JP Morgan Admits it Knew Convicted Nigerian Ex-Oil Minister Linked to OPL 245 - THISDAYLIVE  $GLD $XAUUSD  $TSLA $BARC $LYG $JPM $C $GBTC $SQ $AMZN $COIN $aapl $spy $nflx $nvda $mu $OPEC $USD $JPY $USOIL $UKOIL,,0
148,"Yeah, and the anti-Tesla forces have the entire rest of the media. This is what happens when $tsla does not buy ads.",,0
149,"#TradenetIndia [Picks] Analyst Scott Malatesta: $NVDA, $BYND, $HD, $VFC, $BA, $LOW, $ROKU, $QCOM, $TSLA, $BABA, $TGT",,0
150,$AMZN is annoying.,,-1
151,"RT $TSLA HFT Algos triggered SELL in SIGMA-X, CROSSFINDER, ATS, LX @ 10:37, P/T 195.00 #Quant $MSFT $TWTR $GOOG $AMZN $AAPL $NFLX $FB $QQQ",,0
152,"The $TSLA Model X SUV gets 237 to 295 miles...which costs $140,000",,0
153,"Right, but you don't just roll over into the Fidelity fund (which holds other assets as well assuming SpaceX comp). You have to divest from $TSLA than take a diluted, passive stake in a Fidelity fund, not exactly retaining your stake in the company.",,1
154,"Tesla 'Cyberquad'?  Not only fictional, the frame was ripped off from Yamaha.$tsla",,0
155,Mozilla is funded by $GOOG. #NetNeutrality,,0
156,$TSLA Model Z at Costco will turn things around for sure,,1
157,"""The service center was not helpful this AM and told me to find a body shop."" - $TSLA #model3",,-1
158,$AAPL - There Is Much More Room For Apple Pay,,1
159,"Elon Musk reveals Tesla Model 3 dual motor, AWD, performance version specsMusk promises a performance model with BMW M3-rivaling specs -- including 0-60 mph in 3.5 seconds and 310-mile range -- along with easier servicing. $TSLA",,0
160,$AAPL thinking about the service-side of the autonomous car space...$TSLA,,1
161,"The market bottoms when there is overwhelming fear & frustration. Maybe this whole 10-year shenanigans will be the market's gift.. Yet, a not so obvious ""gift."" $qqq $spy $amzn $twtr $fb",,1
162,$TSLAHey @elonmusk!Do Meme Review!!!,,0
163,All those cars sitting in lots represent so and vendors payable not turned into cash do to failure to execute either failed logistics or weak demand. Either way it is trouble for $tsla $tslaq,,-1
164,"What are you most grateful for, @elonmusk? The gullible customers? The gullible employees? The gullible public?  The gullible cult?  The gullible regulators? The conniving WS crap-bags who wink at your broken business model & keep the $TSLA bubble inflated?  #HappyHeartburn",,1
165,Burn Hollywood burn I smell a riotGoin' on first they’re guilty now they're gone$TSLA#InsuranceSecured,,-1
166,Bad things always happen when political talking heads decide they’re also going to be market analysts.@IngrahamAngle is the new Dennis Gartman contrarian indicator.$SPX $SPY $ES $ES_F $FB $AMZN $AAPL $GOOG $TWTR #TradeWar #MAGA,,-1
167,"Dec 24 Monday, $TSLA LOW is $295.70 and hit Bearish targets $313.91$311.86I'm finished with this one ",,0
168,"$TSLA production still not 7k/wk, not to mention the famous 10k. SX production down from last year... is this still a growth story?  $TSLAQ",,1
169,"$TSLA -The hysterical media makes #Tesla #ElonMusk look like #ENRON-Gimme a break! Screw the SEC - Freedom of speech vs no SEC guidlines  -Maybe TSLA breaks support but if they bring in a #Mullaly type Chair the name will rocket,-I am waiting to see how this plays out.",,-1
170,Absolutely - $TSLA follows pretty religious TA but have to honour it or you get whacked either way- so far a nice fake pop above 332 to 335 now back to push it thru 330,,1
171,Can you tell me the last time ford actually grew sales or innovated anything new but a gas guzzling F150. Ford is the joke. $f vs $tsla,,1
172,"Sold $AMZN, $NFLX. Going short on $AMZN now.",,0
173,".@SalimMorsy @tsrandall for success, $TSLA (Motors) simply needs to execute its business plan; $SCTY is still working on a new one...",,1
174,"$BABA  Support at 10MA on monthly chart. This is not an point easily broken. If falls below, going to 50% retrace 84.4  $FB $TSLA $NFLX $BAC",,-1
175,Azeila Banks: @elonmusk please don't kill me :( $TSLA @AZEALIABANKSNYC @entylawyer @Grimezsz #whereisgrimes,,-1
176,Getting some $oil $ugaz $rig $sdrl $cld $mhr $nbr & holding 50% cash = possible push lower in oil. ( $spy $gdx $xlf $free $ung $aapl $rgse,,1
177,"$DMHI Stock Forum Updated Tuesday, January 19, 2016 9:41:23 PM $SEE $HCTI $TRTC $AAPL",,0
178,"Even I was thinking to put in $AAPL, $MSFT.. anything else on your mind for pontetial plays other than this?",,-1
179,"$AAPL, change of guard????#Cook to go...?",,0
180,"""Bottom line: Social Capital appears to be done, at least as a major venture capital investor.""$TSLA $TSLAQ",,-1
181,"I agree, and more power to Tesla for putting on the pressure & pumping $TSLA stock 'til the big guys noticed. But for an actual transformation of the global automotive industry, the e-tron & i-pace & ECG have to SUCCEED & they won't b/c EV fans love Musk more than the planet.",,1
182,$FIT agreed!  Has anyone seen the $AAPL watch?! Is the competition that stuff?! ,,1
183,#estate asset watch - price volume leaders - $NVDA $AAPL $AMZN $FB $SYMC $BABA $MU $XOM $WTW $MSFT $BIDU $BAC $NFLX $TSLA $TTD $CSCO $JPM $ADBE $VZ $REGN $TWTR $VIRT $AMD $BRK $GILD $GOOGL $PG $JNJ $CRM $SQ $WMT $BIIB $ABBV $ABT $MA $EA $MGM $DWDP $PFE $ROKU $BA $PYPL $HD $DLTR,,0
184,400 miles and will be available a lit bit after 2021? here’s my prediction: 202x! $tsla,,1
185,Someone in this capital structure is wrong.  $TSLA,,-1
186,"$TSLA Using the over extension to roll previous trade and increase size. Selling put, Strike 160, June 14 for 3.55. 33% annualized return and 80+% prob of being profitable",,-1
187,$TNDM still want higher out of the gate to add puts$ASND if this holds over VWAP past. probably good range here$TSLA Hopefully squeeze a little in the morning then lower$W watch for topping action to add puts,,1
188,$AAPL - 300% MOVE HIT - BIG BIG WIN - WISH I HELD EVERYTHING - MOVE STOP LIMIT LOCK IN YOUR PROFITS -  ,,1
189,$AAPL finally looks ready to close above 50DMA. Would be first time in 3 months.,,1
190,"@grassosteve and @timseymour both said they bought $AAPL recently, both for a short term trade and long term investment - @CNBCFastMoney",,-1
191,"Clearly, if you aren't waking up every morning, looking in the mirror, and asking yourself ""How many shares of $AAPL can I buy today?"" you're just un-American at this point. LOL",,1
192,$TSLA about to get into ride-sharing and autonomous driving and it's trading at 2.1x EV/Revenue with $3.7BN of cash on hand. 26% short interest; 32.7M shares,,1
193,@elonmusk do the apples to apples test @Ford ( $F vs $TSLA battle needs to end ) wants to do y’all working with each other could change the truck business for the better,,1
194,"$AMZN --- WE NEED YOU TO GET BACK TO $2000, WHICH YOU TRULY DESERVE!!!!!!!!!!!!!!",,0
195,This is one reason to sell $MSFT,,0
196,"some say ""240=260's"" again....what say you? $TSLA",,0
197,A new daily low at $1148.19 was just reached for $GOOGL. Found with MOMO Realtime Stock Discovery & Alerts.    #GOOGL,,1
198,Full respect to Toni S from Bernstein.Great questions bro.$TSLA,,1
199,Down 5 from this post $TSLA,,-1
200,"""healthy rotation"" $FB $AAPL",,1
201,I dunno what it is with $TSLA ( $TSLAQ imminent?) that makes people forget numbers need context. So here's some: best case estimates for Tesla 2Q19 equal 12 days of US-only Ford 1Q19 sales.,,1
202,$GOOGL strong bull move on 60 min chart. Nice reversal play today. Expect a big move Friday Jan12 like what $AMZN $FB $NFLX have done.,,1
203,can you actually believe i made money on $msft and $nflx on long side lol.,,1
204,"Weak stocks for trading on May 22, 2019 $QQQ $SPY $IWM @tradealike #success #trading #options #stock #investing  $CI $MPC $SPOT $DDS $BIDU $NVDA $GRUB $LYFT $TSLA $RH",,-1
205,There is still good in this world. Thank you. $TSLA,,1
206,Relative Performance of Strong Stocks vs $SPX Visualization of rate at which they are rising $AMZN $GOOGL $AZO $ISRG $CMG $GWW $ILMN $HUM $ANET $UNH $ANTM  $COST $BRK.B $AAPL $QQQ $SPX $IWM #success #trading #options #stock #investing,,1
207,Is this Tesla bear getting prepare to get burn after “Legend” @MontanaSkeptic1 AKA Larry Fossi toasted. U guys did some shady sh!t behind? Why so scare? $TSLA #ChainReaction,,-1
208,Canaccord Genuity Starts Microsoft $MSFT at Hold,,0
209,"The short/FUD war is the only reason why $TSLA is a problematic investment, in that sense fossil fuel and legacy auto makers get what they wanted I guess, but Tesla survives despite that and is on the best way to following the Amazon success story.",,1
210,"$TWTR Periscope growing 100% per CEO, and now a drone patent. Is double bottom in on the bird? $GOOG $FB",,0
211,$TSLA Oh the sounds of angels sing.,,0
212,"RT @realDonaldTrump bit the hand that fed him...Consumer confidence hits 120.2 in January, vs estimate of 124.9 $QQQ $MSFT $GOOG $AAPL $AMZN $NFLX $TSLA $TLRY $FB",,0
213,Today's million dollar CALL #options trade:$AAPL $BYD $FB $GOOG $MU $NFLX $RY $WMT $X $FCX $GM ...,,0
214,"""Isnt that cool?"" Asks ther presenter.. But, why is the $AAPL watch necessary is possess an iPhone?",,1
215,"Tim, life savings in $TSLA at $270...do it #retirementsecured",,0
216,$TSLA has $300 print all over it this week.,,0
217,Reuters: Google proposes €270M-€280M payment to settle tax discord in Italy $GOOG $GOOGL,,0
218,$AAPL That's the bottom for the week,,0
219,The sad thing is that US regulators @SEC_Enforcement @SEC_News @TheJusticeDept @FBI are feckless and $TSLA auditor @PwC is complicit. Musk and $TSLA can make outrageous and false claims to keep the Ponzi going and there are consequences.  Could continue going for quite some time.,,-1
220,"$AMZN Price manipulation Analyst quietly gave low estimates so when reported it appeared blowout , but in fact it was just in line with LY",,0
221,"I said it the other day & I'll say it again: $TSLA is now just an unprofitable car company that has to ""move iron.""",,-1
222,Think $AAPL is running to 105-106 without a single pullback? I'd rather buy 99 area optimistic,,-1
223,CEO's going through divorce. Never good for the stock.And things aren't even ugly yet.$AMZN $WYNNAmazon CEO Jeff Bezos announces divorce from wife MacKenzie after 25 years of marriage. #Amazon #AMZN #Bezos,,-1
224,As long as $aapl & $amzn up Btfd in $qqq & $nq,,-1
225,"Today, Elon Musk says he discovered inventory. Next week, he will say he discovered how important subsidies are to $TSLA after all.",,1
226,You just need to close your eyes and believe. $TSLA,,0
227,"$TSLA-bear-twit is the best twitter. Much respect to all contributors, large and small.",,1
228,"$AMZN XLY, DIS, CMCSA, AMZN: Large Inflows Detected at ETF",,1
229,$AMZN how’s the trade talk going to go well when. Tariff isn’t going to be removed !?!?,,0
230,THE CHART SHOWS NOVEMBER 1 IS THE ‘MAKE OR BREAK’ DAY FOR THIS STOCK MARKET $FB $AMZN $AAPL $FDN $NFLX $GOOG $AKAM $TWTR $AVGO $MU $SWKS $QCOM $QRVO,,0
231,He got one thing right. Nobody gives a shit about Hannah Montana Skeptic. Not even the $TSLA shorts ,,1
232,"$spy $dia $qqq omg, all this to lower tariff on US cars....nobody wants american car except $tsla(in China ahead) #lol Xi must be laughing.",,1
233,$AMZN trading signals (61%/61%)Average sentiment: 0.37(439)T-0: BuyT-1: BuyT-2: BuyT-3: BuyT-4: Buy,,0
234,$PTX next $LEI ??????? Morgan Stanley news just hit  $PTX low floater$LEI $KBIO $DDD $TSLA $TASR $SSYS $CMG $PBY $AVXL $DGAZ p,,0
235,$TGT -20% $aapl sales could just be a tgt issue not aapl issue. need context of other competitor slices too.,,-1
236,Maybe--just maybe--iOS 9.3 complaints were blown out of proportion.$AAPL,,0
237,"APPLE MANUFACTURES ITS FIRST IPHONE IN INDIA, INDIA'S IT MINISTER ANNOUCES",,1
238,"Let's be honest Icahn is the greatest investor ever, he loaded up on $AAPL, Apple at the bottom where Buffett loaded up on $IBM at the top",,1
239,"@kiwitrader24 Now the daily buy $AAPL news. It will be dark 2nite, one ANALyst says buy aapl.",,-1
240,$AAPL trades at just 9 times free cash flow.,,1
