body,label
Sandro posts his plans on PowerGroupTrades BEFORE he trades.  $aapl.  Another winning plan,0
@CNBCFastMoney @BKBrianKelly has not own $AAPL.  So it is BS that he says to sell at $115. The other guy's sell at $120 is also baseless.,0
Stocks making the biggest moves premarket: $TSLA $CBS $AAPL $BABA $AMZN $CPB $SNAP $RIOT $URI,0
"And what about $tsla? The only stock going up in a sea of red. Forced short covering by traders trapped long in their other investments and getting margin calls no doubt, forcing them to buy back TSLA to free up cash. Just shows you how the market can defy logic for a long time.",0
$AMZN opening above that 1767 resistance was such a tell tale sign of strength !,1
"$NFLX and $AAPL, bull market beauty. $SPX 2350-2400 this month as the demand to own assets remains very strong. $SPY $QQQ $GOOG $AMZN $BA",1
Think social media is jinxing $AAPL w the trillion dollar market cap calls?,0
What are you expecting from the Report today? Let me know #tesla $tsla $tslaq------------------------Also reporting:#facebook#paypal,0
.@FredericLambert ironically your garbage reporting spurred $TSLA's lame response that 100% confirmed the accuracy of @Tweetermeyer piece.,-1
Taking a stab for a swing trade on $TSLA might be a great #opportunity,0
$TSLA $TSLAQ  Oct14$256.96(+3.7%) $247.13‒$258.55 x̄=$254.96Volume:  79/100σ: 51.2 (+1.1)  44/100⸻Calls⸻Exposure:  11.2B(+12.4%)Value≈  1.08B(+19.6%)Inflows≈$8.18M⸻Puts⸻Exposure:  20.3B(+4.0%)Value≈  944M(-9.8%)Inflows≈$19.0M,0
"$AAPL Watch ""guardian for your health"" and 'Breathe' application -- they're playing catch-up to $FIT   CC: @parkjames",0
$QQQ Weekly P&F has $283 PT .. will get there after Trade peace ..  QQQ can run  $TQQQ $AAPL $GOOGL $MSFT   Not a good idea to short this mrkt !!,0
"A friend of mine was at Hong Kong  for a few days. And he said that Kirk everybody there has a #tesla $TSLA Either the truck or Sunday, or whatever other vehicles they have. It was extremely common to see a Tesla. I found that interesting.",0
$AMZN broke support today,-1
$TSLA So your're saying there is no deal for $TSLAQ,-1
"$TSLA - Waiting on a $4,200 deposit for 7 months !?!??!?!!! WOW!!!",-1
"CNBC: Tesla to release 'Autopilot' software update within 2 wks, adding safeguards for drivers; system to rely more on built-in radar. $TSLA",0
"$TSLA  Rapper Azealia Banks launches into bizarre rant at Elon Musk, claiming she 'watched him meltdown over Tesla funding while he was on drugs in his house' and then bashes his 'white privilege'... but the billionaire says he has NEVER met her",-1
"sold half $MRVL calls next week, $AAPL calls tomorrow sold all $ACB will add some financials if XLF holds green today.",0
$CAT $AKS $STX $PFE $SNE $PG $AAPL $TSLA $MET $SQ $YUM $CBS $ATVI $TM,0
"Battery Swap is Act 1 in the Aaron Sorkin ""Steve Jobs-ish"" three act screenplay on the downfall of Elon. Solar Roof of course Act 2. Semi-Roadster2 Act 3. All behind scenes look at charades to sell $TSLA stock/debt. Casting calls are out. Great flick!",1
$AMZN Follow up>>,0
$WDC Swing: Another 50% Win in 2 days. Back to back Wins $TSLA & $WDC.Sold 2/3 size for 50% profit.Holding one call and long shares. P/L: $416 (50%)Did you ever get alerts better than these!!! Only from TW0E.#TW0E #SwingTrading #Options #Alerts #WDC,1
$GOOGL 8% off the after hours low from Thursday.,0
"Wow. Another piece of amazing $TSLAQ research on the massive fraud.Reality: Not $TSLA but anonymous Twitter account posts mirrored photo. $TSLAQ: ""SEE??? More evidence of FRAUD""",1
"How do you know you're in a bull market? When all boats are being lifted. This is a 1-year chart of Heico, Micron and Apple. 3 different businesses. 3 great stocks this year. $MU $HEI $AAPL",1
"$TSLA active, relative volume: 2.14, 1H, 12:00 PM, #nasdaq $NDX",0
"SCOOPette:I have it on good account that Tesla is now offering free lifetime unlimited supercharging to European S/X buyers (3 is TBD) who agree to pay and take delivery of a car by end of June.Move that metal, @elonmusk !$tsla $tslaq",0
$TSLA Baggie Gifford are completely off their rockers letting their guy use clients money to keep propping this crap up,-1
"I don't think $AMZN will get 68.5% increase in sales with this move. Maybe force ppl to Prime, until they raise it.",-1
"Wow, IB shows >1.2M shares of $TSLA short borrow available... Now that the air is coming out of this bubble-fraud there's a very diminished base of natural buyers (i.e., short-coverers) to stop the landing rocket from crashing into the barge.$TSLAQ",-1
I am bullish on $AAPL with a target price of $133.353 in 6 months on Vetr,1
$aapl sell this stock negative with every investor!!!! Negative,-1
"Seriously, what do you think will be $AMZN 's Black Friday numbers with all the new jobs in the last few years?  My guess is some awesomeness.  $10 and $14 Quarters are coming hard and fast. $AAPL is going to do extremely well this Christmas...so you know what it will mean for $V",1
"bot $GOOG 633,45",0
Do not forget $TSLA marketing material on their website that touts the Autopilot with videos and stats.,0
This correction will not be complete until $AAPL gets hit 10-20% as well  $QQQ,0
"Boo, Lotto stop loss hit, $90 loss .. $AMZN",-1
"close $AAPL IC MAR inverted 160/165 $10wings $940db, blah, 10IVR, all done, was wippsawed inthe horribley over the last 3 cycles, giant looser, wait for at least 45IVR/earngs before play@TraderNickyBAT @Tomunderwater @TFMTrades @Tony_BATtista @tastytradar #tastytrades",-1
$GLMD $PFE $AAPL what is moving now? c:,0
"Morgan Stanley actually lowers its 2016 adjusted earnings estimate for $TSLA to $1.28, from $1.40.",0
"$AMZN looks ready for a run to $1,000 again",1
"$tsla 6-8wk for 35k. Either Bloomberg estimator is way off, or there are a lot of orders for the 35k. Place your bets.",0
We will all be able to charge $500/hr to parse legal documents by the time $TSLA goes Q.,-1
The answer as Betteridge law of headlines dictates is NO$TLSAQ $TSLA,-1
One of my favs @permabear_uk $MSFT does @petenajarian still love it too?,0
@tastytraderMike nice work on the $GOOGL BWB today! I followed along yesterday (except in $GOOG). Question. I’ve got a $5 wide IC in $BYND that I’ve been rolling the untested side in. My credit is now $4.69. If I roll out to Sep I can collect even more. Will this remove all risk?,1
$AAPL Revert to mean play yields 26bps. Great job.,1
The future is here. $TSLA $TSLAQ,1
#modelY So they will decide on a factory by Q4 and have production started 'early 2020' $TSLA but it will all be executed 'at the next level'. Got it!,1
@FraynkWash #BoycottApple Don't need an iPhone if that's the case. $AAPL,-1
$GOOG One to watch for a break out #tradealerts2go.com#TradeIdeas #StocksToBuy #Investing,0
$JDST $DUST Do you dare to buy this dip? I dare you! $JNUG $NUGT $GLD $GDX $GDXJ $SPY #gold #silver $SLV #commodities #stocks #options $AAPL,1
Add to that the 600 seen in the other parking lot and the higher than usual no of trucks seen loading at Fremont its pretty obvious that Tesla is producing at a higher rate than ever before $TSLA,0
$GOOGL 60 min view,0
Voice of a martyr for $tsla,0
@OMillionaires $msft buy weakness they say... And you say...???,0
#Microsoft $MSFT - Great day for Microsoft's stock price and we are getting really close to that all time high. It's been a good ride so far but we aren't done yet! #trading,1
$AAPL strong and Ba beasting #NiceClip,1
Wow President had a Temper Tantrum and walked out. Think we could have some profit taking? $SPY $AMZN $AAPL,0
"$T $TWX $FB $GOOG Time Warner CEO Says AT&T Deal Will Increase Competition in Advertising Against Google, Facebook",0
Maybe $TSLA is a tech company after all,0
"$TSLA filed Form 4 with the SEC. Most mentioned words: tesla, alto, palo, creek, deer",0
$AMZN $FB $TSLA $PCLN buy buy buy ; so what if retail sales suck ... $QQQ  pump it up,1
They pinning $AAPL at $154 but think gaps up on the $AMZN news.,0
And Buffalo $TSLA $SCTY... How about the fraud he is allowing there ? $TSLAQ,-1
52 week high & volume above 3-mth avg: $TSLA $WYNN $JD,0
"RT $QQQ HFT Algos BROKE 101.70 in SIGMA-X, CROSSFINDER, ATS, LX @ 11:12. P/T 100.50 #Quant $MSFT $TWTR $GOOG $AMZN $AAPL $NFLX $TSLA $FB",0
"Game on for M&A. No time to develop (or fix) a market. In this case, @Uber - Didi. $AAPL and Project Titan. @elonmusk? #disruption",0
"#trendfollowing signals, going long $TSLA and $TGS. $VEEV $SUPN $CSX $BLD $BERY $QQQ $SPY",0
Church of Disruption. $Tsla Baggie Style!,1
$AMZN thats new ,0
@gauravgjain $AAPL phone @kanchankumar,0
Probably because construction moving ahead as planned and not subtly slowing down at all. $TSLAAlso good that no one lied about completion date to make fact based updates inconvenient...,0
$TSLA out more 250 puts at .70.  I think I missed the high there - will hold 20% through tomorrow.,0
"Thanks to @vincent13031925 for the great update of GF3., really awesome view.$tsla #Tesla",1
$TSLA shorts are trying hard!#stocks #trading #investing,0
I plan to add again as well over $89.50.  Stop is at $91.50.  I've also been struggling with setting my stops just too tight.  I got stopped out of an $AAPL short multiple times last week. Needed to give it just a bit more room and I would have had a pretty nice trade rn. ,0
$tsla great $irbt not so great.  Conference calls coming up,0
"$BTC Why did #Bitcoin, gold, and silver dip? Simple: the #dollar's strength is the culprit         $SPY $TLT $QQQ $DJIA $DIA $GLD $SLV #stockmarket #commodities #investing #finance #stocks #gold #silver $FB $TWTR $AAPL $AMZN $TSLA $INTC $AMD $NFLX $MU $NVDA #crypto #blockchain",0
@carlquintanilla @jimcramer @SullyCNBC Reuter trying to report news $TSLA China sale = @elonmusk Laughs I told you that last month?,0
Don't worry about $AAPL off the highs here. It'll just gap up to a new all time high Monday morning premarket. $ES $SPX $SPY $NDX $QQQ $AMZN,0
$TSLA is the biggest Soap Opera listed.,-1
$AMZN I just can’t see a path forward till we get trade resolved. China is not budging. It’s going to get worse b4 it gets better.,-1
FED policies are a Ponzi scheme and they are blatant liar  JMHO $SPY $QQQ $NDX $DIA $IWM $NFLX $FB $INTC $SMH $AAPL $NVDA $TSLA $ES $YM $AMZN $BA $GS $JPM $IBM $LRCX $C $GOOG $AMD $DPZ $WYNN $REGN $BIIB $IYT $MU $VXX $TVIX,-1
$AAPL Similar deals at other carriers too.,0
$MSFT back to the highs on buyback and dividend news,1
Nintendo now up 28%. Holy Pikachu! $NTDOY $AAPL,1
"All will be well in $tsla bullsville til the last day.Musk will fake it til the end, he has said so explicitly himself, yet the audacity of the conceit is why people believe it.",-1
"3) Is it true that your employees have to ""fight for what is right"" and that your customers are starting to view your company as a ""sham"" $TSLA $TSLAQ@FTC",-1
$TSLA will they/won't they get 100K. LFG,0
Fintech APIs Consolidate As Plaid Buys Quovo In $200M Deal$GOOGL $SF $C $AXP $GS,0
Hmmm... this is the planet that elon should go after and he should rename it Cocainia...$TSLA,0
"$TSLA news from Australia. $TSLAQ bears take note. Tesla Australia profit increased from $220,000 in 2016 to $1.36M in 2017 excluding profit from the SA big battery.",1
Everybody come gather around and watch the banks pin spooz at 2590 for options expiration$ES $SPY $SPX $QQQ $AMZN $AAPL $VXX $VIX,-1
"Shopify Is Turning Another Competitor Into a Partner@themotleyfool #stocks $AMZN, $EBAY, $SHOP",0
Why does Jonas rate $TSLA overweight if it's $10 >his price target? In light of his fine earnings projections shouldn't he raise the target?,0
Hey @FredericLambert - Any reason why @ElectrekCo hasn't published about Tesla dropping its TRO case against Randeep Hothi?Shouldn't you clear this for your readers? $TSLA $TSLAQ,-1
My holdings minus $AMZN which I stupidly shorted after earnings.,0
"If $AAPL is above 200 per share...the market is NOT ""tanking""",1
ANOTHER insane Friday where nickel and dime options went to multiple dollars. WOW. $FB $GOOGL $AMZN $NFLX check out @smartertrader room. Wow,1
"$aapl - Go ahead and bet against Apple, same bearish thesis of lack of innovation... no one can afford $999.. and least $BBRY fans are gone",-1
@big7x7 No matter which direction I trade $AAPL it always loses. DTM.,-1
$AAPL  spinning top set up...could that be the pause???,1
"Overlooked in the $TSLA Model 3 Brake-Gate is that braking distance is *inconsistent*.It's one thing to have the worst stopping distance Consumer Reports has ever seen, and worse than a Ford F-150.It's another to have the brakes work most of the time, then suddenly fail.",-1
$AMZN Golden shower > Golden cross. What absolute rubbish.,0
I believe Tesla agreed to plant 3x the amount of trees they are cutting down. I dunno guys. $tsla keeps going up and the arguments against it are getting worse. I’m glad I closed my short position (for now),1
"All $tsla cars wind up ... well, on fire!",-1
OMG Tesla has insane production growth.#Tesla $TSLA,1
more ++ ticks for $tsla,1
$amzn bezo gives no F's,1
Let the inventory dump begin. $TSLA $TSLAQ,-1
"Nah. $tsla probably filed 2 months ago but the courts are the problem, slow to accept the paper work. Just like dmv",0
"3) This means that even though $TSLA achieved over 7K/week in output during Q3 on record deliveries, Pana isn't getting the returns originally expected, possibly only half. So still no return on investment.",-1
$TSLA if this can miraculously retake 246.50 then maybe its going to rip regardless #stockmarket #invest #trade,1
"Sold the rest of my $GOOGL 760s at 2.07, from 2.81. Still was positive overall on the whole position, if not by much.",0
$AMZN is doing better in market that matters #india,1
No they wouldn't.   See $TSLA and Elon musk for real time example of how fraud is rewarded by a highly paid and very passive board or directors,-1
"$AAPL beats by 6c, beat on rev. Announces new $100B share repurchase authorization, iPhone 52.2M vs 52.4M est, iPad 9.1M vs 9.17M est, Mac 4.1M vs $.4.14M est. Stock +4% AH",1
"$AMZN post-market 30 Oct update ending 5 waves up from 1618 low and pullback can find support in 3, 7, 11 swing #elliottwave #trading",0
$TSLA Will buy this lower with the goldman manipulators. I learned my lesson with $AMD.,0
@jameswneal Building a car is just not in $AAPL's wheelhouse and would be a massive distraction. Very unlike the very focused $AAPL we know.,-1
Oh the horror . Throw back mini entry $aapl $sune $cere,-1
#WiadomościRynkowe $AAPL $MSFT $SPY $QQQ,0
Here goes $TSLA nearing all time high at $369.61. Let's see the reaction to this very important number. It's either bust through it or reversal.,0
"Keep in mind that the lower $TSLA $TSLAQ stock goes, the greater the odds become that Elon will end up in much more significant trouble and for who knows whatIf it's as bad as you think it is: I'm thinking Jeff Skilling type trouble",0
"$TSLA (+3.0% pre) Tesla hikes new Model 3 price by $1,000 - Reuters",0
$AAPL Some of Apple's secret sauce.,0
$SHOP til we drop $AMZN ,1
$VERB: EXTREME DISCOUNT HERE WITH STRONG DISRUPTIVE TECH...IT WILL BECOME APPARENT TO ALL SOON$AGTC $MNPR $THMO $CRTX $CABA $MWK $RAD $ONTX $ABUS $BIMI $BNTX $ADBE $FCEL $XENE $SMLR $CRM $ORCL $MSFT $AAPL $SIRI $INPX $KRTX $SAVA $HSDT $ASRT $VLRX,1
$FNHI up 33% run just starting get in asap $TSLA HUGE player in electric car sector,1
"I think Tesla’s success and growing fan base shows that they do. Het off $tsla channels and the discussion changes completely, people love Tesla, period!",1
$AAPL  JPMorgan Chase & Co. Set Price TargetApple (AAPL)$186.79 $228.00Buy,1
Elon just squeezed the shit out of people LOL $tsla,1
Also trimmed 1/2 $AAPL .. Will reload if lower. Both common and options.,0
"""Yeah, I remember $TSLA. Back in the day, those were some mighty valuable cars. Any more though, people just leave them wherever they run outta charge.""",-1
It represents a rebalancing of the market away from fossil fuels. Straight from the source! $TSLA $TSLAQ,1
"How you make money in the markets...Buy Low, Sell High. Those advising to sell $AAPL here are idiots. You buy $AAPL here and watch it melt back up to $200 within 12 months.",1
"Yes, and #Tesla will buy their factories at less than 10 cents on the dollar, copy/paste Grohmann machines for less than $5B in total CapEx, and quickly ramp to millions of units per year by 4Q20, way before even Bulls expect.$TSLA #NotSellingAShareBefore2500",1
"$GOOGL struggling at 833.04, a long since 831.92 was broken. Targets 839.05 & 846.01. Bulls really need to take and hold 839.05 first. $NQ_F",0
$aapl will prolly short it later in the day pre event for the fade. it generally follows the same path over and over,-1
I need 301.35 or better for $TSLA,0
"#NotATesla  Volkswagen and Skoda Australia recall: More than 65,000 cars hit by production fault$TSLA",0
$FB $AMZN $GOOG / $GOOGL and $NFLX enjoy the ride folks! Why look for reasons when there are no reasons? $QQQ $SPY #stockmarket #stocks $DIA,1
I think it’s disgusting @andrewrsorkin that Cook is rubbing elbows with the President. Especially one that is as far away from a role model as Trump. #boycottapple $aapl,-1
$AMZN clime coming in a bit,1
$GOOGL $825 wow,1
"The greatest fraud in existence is now asking for my bank account details so they can send me $1000, like those scam Nigerian businessmen needing you to help them move money.$TSLA $TSLAQ",-1
"I have not come across even one $JD bear.The bull case seems so simple n easy. They are early stage $AMZN of china. Just buy n hold.Things normally are not so simple, are they?",0
"$TSLA - For someone who paid $20 Million for Non-Securities Fraud and who is also working with the Chinese Government, this is highly suspicious.  #DOJ #FBI #NSA $TSLAQ Elon Musk occasionally destroys his cellphone, document says - Business Insider",-1
$TSLA is working on a handle/gap up U-turn after a strong 2-day move post earnings. Look for upside follow-through above last week's high.,0
Great ad @Audi. I've been debating. Should I buy my Model 3 before OR after I go see the Avengers on Saturday?$TSLA,1
$tsla has been trading in a tight  range 205-230. Coiled. Looks like it has been making higher highs and higher lows,1
"Continuation of Elmer's call for the Tesla Board of Directors to fire Elon:(and, of course the BoD is certainly not going to take this opportunity to pull their heads outta their frunks, so this is really just kind of a musing on how far Tesla has deteriorated.)$tsla $tslaq",0
$AAPL We should expect a lot more from a Billion $ Corp-Launching Music but dont have the deals figured out for the big 'show',1
$AAPL - U.S. Corporate Cash Piles Drop to Three-Year Low,0
"Feb 19 Tuesday, $AMZN is $1,633.00Bearish target $1,600.56 ",-1
"Probably selling too early, but taking profit in $tsla after loss in $cmg and $spx. Good thanks",0
"Yesterday and today trading logs. Learned to cut losses quick or drop it if the trend is no longer there. Need to maintain my consistency before I scale up again. Last time was a horrible attempt, it went wrong, very wrong. $SPY $AMZN $NFLX $NVDA $IWM",-1
$AAPL green by 10:30am ET.,1
"""Last question. So Larry, in the last 40 years which of the 6 recessions did you predict?""$SPX $GDX $USDJPY $TLT $AMZN",0
"$TSLA is not the nation's most ""valuable"" car company. It's the most expensive. Price is what you pay, value is what you get.",-1
"If $TSLA is DOWN today? That would make it the 3rd Bearish day. I'm not saying that $TSLA moves the market. I'm saying, ""$TSLA, for years, has been ahead of the market B4 it goes DOWN."" Lets see if the 3rd day rule still applies? ",-1
"$AAPL why the panic exactly ? Everyone one waiting for new iphone. Q1 2018 will crush, same old pattern. Dont listen to #fakeaaplnews",0
$AAPL Serioudly what the F is going on that started at 1:00pm exactly,0
"BOOM! Another one Bites the dust. Targets that is! ""@MarketSwingPlayer: $AMZN  Looks like price want to retest lime green pivot now @ 380""",1
They call it the Tesla Kamikaze Autopilot. You have to read the fine print $tsla,0
this one is hotter $tsla ,1
"Looks like today might've been day 1 for tech, just got off a flight from the east coast... will be back to normal trading tomorrow $nflx $spy $amzn",0
@M3_6Barz Compare that chart to $AMBA $FB $CEMP $SRNE $FIT $OPHT $IBB $LABU $XON $AMZN $GOOGL $NFLX $TSLA,0
I work for a Big 4 and our I-Phone upgrade used to be once a year; then it was 18 months and after the latest release it became 2 years.  There you go - 65000 less sales per year.  Are you listening Cook? $aapl,-1
Tesla forces out the people who f upped. That’s what happens and it’s GOOD! Now the cars are coming out and these guys put the company at risk with their mistakes. Thank god elon took over. $tsla,0
$AMZN a miss on the butterfly here too.,0
"In the end, the bottom line counts. Even now (with almost no direct competition in long-range EVs yet!) $TSLA burns $$$ AND can’t ship cars.",-1
All in zt $AAPL 5/17 197.5c 195p for catalyst China's retaliation for increased tariffs but also for US attacks agianst Huawei. Just make sense and proportional and justifiable. $SPY,-1
"@Automotive_News @TeslaMotors'Delivered 17,400 Vehicles-Fourth Quarter, Hitting its Target Of At Least 50,000 Vehicles For The Year'$TSLA",0
Top #moneyflow for whole #market today$LQD $AMZN $GLD $AABA $TSLA $IWD $AVGO $DIA $JNJ $IJR ...,0
"It's a depressing day when a company announcing ""all our cars have the hardware to drive themselves"" is a disappointment. $TSLA.",-1
"$tsla they figured out how to keep capex low, with exponential growth, learning all along the way, what you expect this type of company to do $360",0
Dead lifting $TSLA....lovely,1
"the move of the cfo from $MS to $GOOG looks like it should help break $GOOG to new highs, catalyst",1
$googl to 1k let's go! cheerleader squad unite,1
"Strong buy on $GOOGL today, all technical indicators signaled bounce. Great level to get in monthlly call options. 10% upside potential.",1
He was also publicly short and then just started pumping $tsla no respect for anyone whose conviction just blows in the wind like that,1
"There is no demand here in EU,there is no homologation here in EU, there will be no homologation with Autopilot, $tsla doesn't have produced for EU, no EU Vins no BAFA application  but job opens for homologation engineers. There will be no M3 here for minimum 6 months but bk 1st",-1
$MSFT line of support finally failing,-1
